id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code
6623,01SC,small_airport,York Airport,35.032100677490234,-81.25279998779297,779.0,NA,US,US-SC,York,no,THV
6625,01TE,small_airport,Smith Field,32.737598,-96.428001,505.0,NA,US,US-TX,Forney,no,SLG
322099,02MD,small_airport,Garner Field,38.672544,-76.709739,141.0,NA,US,US-MD,Brandywine,no,UVA
4650,03N,small_airport,Utirik Airport,11.222219,169.851429,4.0,OC,MH,MH-UTI,Utirik Island,yes,UTK
324414,06NV,small_airport,Silver Creek Airport,39.098333,-114.150277,5556.0,NA,US,US-NV,Baker,no,SVK
6924,07FA,medium_airport,Ocean Reef Club Airport,25.325399,-80.274803,8.0,NA,US,US-FL,Key Largo,no,OCA
7006,08R,small_airport,Richmond Airport,41.489498,-71.620598,130.0,NA,US,US-RI,West Kingston,no,RCM
7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980.0,NA,US,US-CO,Crested Butte,no,CSE
7426,0NM0,small_airport,Columbus Airport,31.823898,-107.629924,4024.0,NA,US,US-NM,Columbus,no,CUS
7545,0TE7,small_airport,LBJ Ranch Airport,30.251801,-98.622498,1515.0,NA,US,US-TX,Stonewall,no,JCY
7785,12NK,small_airport,Westport Airport,44.15840148925781,-73.43289947509766,276.0,NA,US,US-NY,Westport,no,WSZ
7822,13IN,small_airport,Gage Airport,40.814484,-84.927803,814.0,NA,US,US-IN,Decatur,no,GAG
7825,13KY,small_airport,Miles Airport,37.704812,-87.158586,407.0,NA,US,US-KY,Owensboro,no,WLE
7866,13Z,seaplane_base,Loring Seaplane Base,55.601299,-131.636993,1351.7610296137575,NA,US,US-AK,Loring,no,WLR
7912,14S,small_airport,Westport Airport,46.8969,-124.100998,14.0,NA,US,US-WA,Westport,no,WSZ
7928,15AR,small_airport,Taylor Airport,34.827378,-90.545297,220.0,NA,US,US-AR,Brickeys,no,TWE
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,NA,US,US-AK,Nunapitchuk,yes,NUP
7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,1351.7610296137575,NA,US,US-AK,Port Alice,no,PTC
45451,18ME,small_airport,Ruby Airport,43.893747,-69.495208,216.0,NA,US,US-ME,Bristol,no,RBY
8126,19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50.0,NA,US,US-AK,Icy Bay,no,ICY
8159,19P,seaplane_base,Port Protection Seaplane Base,56.3288,-133.610001,1351.7610296137575,NA,US,US-AK,Port Protection,yes,PPV
8217,1C3,small_airport,Argyle Airport,43.2542,-73.470901,330.0,NA,US,US-NY,Argyle,no,GYL
8275,1FA3,small_airport,Pine Island Airport,26.656200408935547,-82.12120056152344,12.0,NA,US,US-FL,Fort Myers,no,DUF
8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,NA,US,US-AK,Kalakaket Creek,no,KKK
8427,1M3,small_airport,Ardmore Airport,34.979171,-86.883304,920.0,NA,US,US-AL,Ardmore,no,AMZ
8566,1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,NA,US,US-CA,Dunsmuir,no,MHS
8612,1P1,small_airport,Plymouth Municipal Airport,43.778299,-71.753919,505.0,NA,US,US-NH,Plymouth,no,PYM
8644,1S8,small_airport,Arlington Municipal Airport,45.722683,-120.176418,890.0,NA,US,US-OR,Arlington,no,LHC
8753,1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190.0,NA,US,US-TX,Beeville,no,NIR
8774,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.257984,-113.231063,4100.0,NA,US,US-AZ,Littlefield,no,GCT
8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0.0,NA,US,US-AK,Ellamar,no,ELW
8884,22GA,small_airport,Riverside Airport,34.429298,-85.054398,620.0,NA,US,US-GA,Fairmount,no,LLE
45721,22OK,small_airport,Smith Field,34.315161,-97.177492,860.0,NA,US,US-OK,Springer,no,SLG
9114,26N,small_airport,Ocean City Municipal Airport,39.2635,-74.607498,5.0,NA,US,US-NJ,Ocean City,no,OCE
