airport_key,airport_code,airport_name,airport_type,municipality,country_key
1,THV,York Airport,small_airport,York,230
2,SLG,Smith Field,small_airport,Forney,230
3,UVA,Garner Field,small_airport,Brandywine,230
4,UTK,Utirik Airport,small_airport,Utirik Island,141
5,SVK,Silver Creek Airport,small_airport,Baker,230
6,OCA,Ocean Reef Club Airport,medium_airport,Key Largo,230
7,RCM,Richmond Airport,small_airport,West Kingston,230
8,CSE,Crested Butte Airpark,small_airport,Crested Butte,230
9,JCY,LBJ Ranch Airport,small_airport,Stonewall,230
10,WSZ,Westport Airport,small_airport,Westport,230
11,GAG,Gage Airport,small_airport,Decatur,230
12,WLE,Miles Airport,small_airport,Owensboro,230
13,WLR,Loring Seaplane Base,seaplane_base,Loring,230
14,WSZ,Westport Airport,small_airport,Westport,230
15,TWE,Taylor Airport,small_airport,Brickeys,230
16,NUP,Nunapitchuk Airport,small_airport,Nunapitchuk,230
17,PTC,Port Alice Seaplane Base,seaplane_base,Port Alice,230
18,RBY,Ruby Airport,small_airport,Bristol,230
19,ICY,Icy Bay Airport,small_airport,Icy Bay,230
20,PPV,Port Protection Seaplane Base,seaplane_base,Port Protection,230
21,GYL,Argyle Airport,small_airport,Argyle,230
22,DUF,Pine Island Airport,small_airport,Fort Myers,230
23,KKK,Kalakaket Creek AS Airport,small_airport,Kalakaket Creek,230
24,AMZ,Ardmore Airport,small_airport,Ardmore,230
25,MHS,Dunsmuir Muni-Mott Airport,small_airport,Dunsmuir,230
26,PYM,Plymouth Municipal Airport,small_airport,Plymouth,230
27,LHC,Arlington Municipal Airport,small_airport,Arlington,230
28,GCT,Grand Canyon Bar Ten Airstrip,small_airport,Littlefield,230
29,ELW,Ellamar Seaplane Base,seaplane_base,Ellamar,230
30,LLE,Riverside Airport,small_airport,Fairmount,230
31,SLG,Smith Field,small_airport,Springer,230
32,OCE,Ocean City Municipal Airport,small_airport,Ocean City,230
33,VTN,Miller Field,small_airport,Vassar,230
34,LVD,Lime Village Airport,small_airport,Lime Village,230
35,HGZ,Hog River Airport,small_airport,Hogatza,230
36,SLG,Smith Field,small_airport,Greensboro,230
37,OTN,Ed-Air Airport,small_airport,Oaktown,230
38,TLF,Telida Airport,small_airport,Telida,230
39,GRJ,George Airport,small_airport,Somonauk,230
40,CKM,Fletcher Field,small_airport,Centerview,230
41,YMB,Merritt Airport,closed,Staunton,230
42,BZT,Eagle Air Park,small_airport,Brazoria,230
43,BBX,Wings Field,small_airport,Whiteville,230
44,YML,Charlevoix Airport,small_airport,New Harmony,230
45,HBH,Entrance Island Seaplane Base,seaplane_base,Entrance Island,230
46,FAK,False Island Seaplane Base,seaplane_base,False Island,230
47,ZFW,Fairview Airport,small_airport,Landrum,230
48,MQY,Smyrna Airport,small_airport,Smyrna,230
49,BYW,Blakely Island Airport,small_airport,Blakely Island,230
50,VTN,Miller Field,small_airport,Topeka,230
51,RDM,Roberts Field,small_airport,Sulphur Springs,230
52,LHC,Arlington Municipal Airport,small_airport,Arlington,230
53,DRF,Drift River Airport,small_airport,Kenai,230
54,OCW,Warren Field,small_airport,Lookout Mountain,230
55,BDF,Rinkenberger Restricted Landing Area,small_airport,Bradford,230
56,WSZ,Westport Airport,small_airport,Westport,230
57,ZFW,Fairview Airport,small_airport,Annapolis,230
58,WOW,Willow Airport,small_airport,Philipsburg,230
59,JDN,Jordan Airport,small_airport,Andrews,230
60,VRS,Roy Otten Memorial Airfield,small_airport,Versailles,230
61,TWE,Taylor Airport,small_airport,Rainier,230
62,GDH,Golden Horn Lodge Seaplane Base,seaplane_base,Golden Horn Lodge,230
63,SVK,Silver Creek Airport,small_airport,Helena,230
64,MNN,Marion Municipal Airport,small_airport,Marion,230
65,ATT,Atmautluak Airport,small_airport,Atmautluak,230
66,LIV,Livengood Camp Airport,small_airport,Livengood,230
67,GOR,Gore Airport,small_airport,Haines City,230
68,PDB,Pedro Bay Airport,small_airport,Pedro Bay,230
69,KOZ,Ouzinkie Airport,small_airport,Ouzinkie,230
70,TNK,Tununak Airport,small_airport,Tununak,230
71,YQS,St Thomas Municipal Airport,small_airport,St Thomas,230
72,EKX,Addington Field,small_airport,Krum,230
73,TWE,Taylor Airport,small_airport,Atlantic,230
74,LLE,Riverside Airport,small_airport,Everson,230
75,WHD,Hyder Seaplane Base,seaplane_base,Hyder,230
76,PMF,Parma Airport,small_airport,Parma,230
77,SLG,Smith Field,small_airport,Tyrone,230
78,YXQ,Beaver Creek Airport,small_airport,Chesterville,230
79,ALH,Albany Airport,small_airport,Albany,230
80,AMK,Animas Air Park,heliport,Durango,230
81,UCN,Buchanan Airport,small_airport,Jay,230
82,TKI,Tokeen Seaplane Base,seaplane_base,Tokeen,230
83,WKK,Aleknagik / New Airport,medium_airport,Aleknagik,230
84,YHE,Hope Airport,small_airport,Hope,230
85,WFB,Ketchikan Harbor Seaplane Base,seaplane_base,Ketchikan,230
86,NNK,Naknek Airport,small_airport,Naknek,230
87,ZFW,Fairview Airport,small_airport,Fairview,230
88,INB,Independence Airport,small_airport,Independence,230
89,BKF,Lake Brooks Seaplane Base,seaplane_base,Katmai National Park,230
90,HLL,Hillside Airport,small_airport,Stilwell,230
91,LOU,Bowman Field,small_airport,Delaware,230
92,BCS,Southern Seaplane Airport,small_airport,Belle Chasse,230
93,SEE,Gillespie Field,small_airport,Meddybemps,230
94,GRJ,George Airport,small_airport,Sheridan,230
95,SPQ,Catalina Air-Sea Terminal Heliport,heliport,San Pedro,230
96,NGA,Young Airport,small_airport,Viola,230
97,TSS,East 34th Street Heliport,heliport,New York,230
98,MTQ,Mitchell Airport,small_airport,Plain City,230
99,BWL,Earl Henry Airport,small_airport,Blackwell,230
100,UMM,Summit Airport,small_airport,Salem,230
101,WSZ,Westport Airport,small_airport,Wichita,230
102,BXG,Bendigo Airport,small_airport,Tower City,230
103,NLS,Nicholson Airport,small_airport,West Union,230
104,WYB,Yes Bay Lodge Seaplane Base,seaplane_base,Yes Bay,230
105,CWS,Center Island Airport,small_airport,Center Island,230
106,EFD,Ellington Airport,small_airport,Ellington,230
107,TEK,Tatitlek Airport,small_airport,Tatitlek,230
108,DUF,Pine Island Airport,small_airport,Corolla,230
109,CKD,Crooked Creek Airport,small_airport,Bunn,230
110,CAX,Carlisle Airport,small_airport,Mullin,230
111,ZFW,Fairview Airport,small_airport,Rhome,230
112,SSW,Stuart Island Airpark,small_airport,Friday Harbor,230
113,PPF,Tri-City Airport,small_airport,West Lafayette,230
114,SCG,Spring Creek Airport,small_airport,Spring Lake,230
115,PRX,Cox Field,small_airport,Tabor City,230
116,FOB,Fort Bragg Airport,small_airport,Fort Bragg,230
117,PUL,Port of Poulsbo Marina Moorage Seaplane Base,seaplane_base,Poulsbo,230
118,CCD,Century City Heliport,heliport,Los Angeles,230
119,WMK,Meyers Chuck Seaplane Base,seaplane_base,Meyers Chuck,230
120,AXB,Maxson Airfield,small_airport,Alexandria Bay,230
121,NSN,Nelson Airport,small_airport,Carlinville,230
122,BBD,Curtis Field,small_airport,Richmond,230
123,SLG,Smith Field,small_airport,Champion,230
124,ETS,Enterprise Municipal Airport,small_airport,Enterprise,230
125,REE,Reese Airpark,small_airport,Lubbock,230
126,WDN,Waldron Airstrip,small_airport,Eastsound,230
127,SLG,Smith Field,small_airport,Macksville,230
128,BBX,Wings Field,small_airport,Williston,230
129,WWP,Whale Pass Seaplane Float Harbor Facility,seaplane_base,Whale Pass,230
130,SIX,Singleton Airport,small_airport,Warm Springs,230
131,CHU,Chuathbaluk Airport,small_airport,Chuathbaluk,230
132,UGS,Ugashik Airport,small_airport,Ugashik,230
133,OBK,Sky Harbor Airport,small_airport,Anchorage,230
134,DLN,Dillon Airport,small_airport,North Liberty,230
135,YTH,Thompson Airport,small_airport,Steward,230
136,SLG,Smith Field,small_airport,Hartford City,230
137,PSQ,Philadelphia Seaplane Base,seaplane_base,Essington,230
138,YXQ,Beaver Creek Airport,small_airport,Sherman,230
139,KLL,Levelock Airport,small_airport,Levelock,230
140,SGW,Saginaw Seaplane Base,seaplane_base,Saginaw Bay,230
141,WTL,Tuntutuliak Airport,small_airport,Tuntutuliak,230
142,TWA,Twin Hills Airport,small_airport,Twin Hills,230
143,KCQ,Chignik Lake Airport,small_airport,Chignik Lake,230
144,AAD,Adado Airport,small_airport,Adado,203
145,ABP,Atkamba Airport,small_airport,Atkamba Mission,174
146,ACM,Arica Airport,small_airport,Arica,47
147,ADV,El Daein Airport,small_airport,El Daein,194
148,DJH,Jebel Ali Seaplane Base,closed,Jebel Ali,2
149,DCG,Dubai Creek SPB,closed,Dubai,2
150,AEE,Adareil Airport,small_airport,Adar,205
151,AEI,Algeciras Heliport,heliport,Algeciras,66
152,AEQ,Ar Horqin Airport,small_airport,Chifeng,46
153,AFK,Kondavattavana Tank Seaplane Base,seaplane_base,Ampara,128
154,BBQ,Burton-Nibbs International Airport,medium_airport,Codrington,4
155,AFT,Afutara Aerodrome,small_airport,Bila,192
156,RNA,Ulawa Airport,small_airport,Arona,192
157,ATD,Uru Harbour Airport,small_airport,Atoifi,192
158,VEV,Barakoma Airport,small_airport,Barakoma,192
159,BPF,Batuna Aerodrome,small_airport,Batuna Mission Station,192
160,GEF,Geva Airport,small_airport,Liangia,192
161,AGG,Angoram Airport,small_airport,Angoram,174
162,AKS,Gwaunaru'u Airport,small_airport,Auki,192
163,BNY,Bellona/Anua Airport,small_airport,Anua,192
164,CHY,Choiseul Bay Airport,small_airport,Choiseul Bay,192
165,BAS,Ballalae Airport,small_airport,Ballalae,192
166,FRE,Fera/Maringe Airport,small_airport,Fera Island,192
167,HIR,Honiara International Airport,large_airport,Honiara,192
168,MBU,Babanakira Airport,small_airport,Mbambanakira,192
169,AVU,Avu Avu Airport,small_airport,Avu Avu,192
170,IRA,Ngorangora Airport,small_airport,Kirakira,192
171,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,small_airport,Santa Cruz/Graciosa Bay/Luova,192
172,MUA,Munda Airport,medium_airport,Munda,192
173,GZO,Nusatupe Airport,small_airport,Gizo,192
174,MNY,Mono Airport,small_airport,Stirling Island,192
175,PRS,Parasi Airport,small_airport,Parasi,192
176,RNL,Rennell/Tingoa Airport,small_airport,Rennell Island,192
177,EGM,Sege Airport,small_airport,Sege,192
178,NNB,Santa Ana Airport,small_airport,Santa Ana Island,192
179,RUS,Marau Airport,small_airport,Marau,192
180,VAO,Suavanao Airport,small_airport,Suavanao,192
181,XYA,Yandina Airport,small_airport,Yandina,192
182,AGK,Kagua Airport,small_airport,Kagua,174
183,KGE,Kaghau Airport,small_airport,Kagau Island,192
184,KUE,Kukudu Airport,small_airport,Kolombangara Island,192
185,KWS,Kwailabesi Airport,small_airport,Kwailabesi,192
186,LLM,Lomlom Airport,small_airport,Lomlom,192
187,NAZ,Nana Airport,small_airport,Star Harbor,192
188,GTA,Gatokae Aerodrome,small_airport,Gatokae,192
189,RIN,Ringi Cove Airport,small_airport,Ringi Cove,192
190,RBV,Ramata Airport,small_airport,Ramata,192
191,TLG,Tulaghi Heliport,heliport,Tulaghi Island,192
192,AGY,Argyle Downs Airport,small_airport,Argyle Downs,13
193,AHY,Ambatolhy Airport,small_airport,Ambatolahy,140
194,AIC,Ailinglaplap Airok Airport,small_airport,Bigatyelang Island,141
195,CEX,Chena Hot Springs Airport,small_airport,Chena Hot Springs,230
196,SOL,Solomon State Field,small_airport,Solomon,230
197,HED,Herendeen Bay Airport,small_airport,Herendeen Bay,230
198,TWE,Taylor Airport,small_airport,Taylor,230
199,KTH,Tikchik Lodge Seaplane Base,seaplane_base,Tikchik,230
200,NKI,Naukati Bay Seaplane Base,seaplane_base,Tuxekan Island,230
201,CDL,Candle 2 Airport,small_airport,Candle,230
202,AOS,Amook Bay Seaplane Base,seaplane_base,Amook Bay,230
203,BSW,Boswell Bay Airport,small_airport,Boswell Bay,230
204,AKM,Zakuoma Airport,small_airport,ZaKouma,212
205,TKY,Turkey Creek Airport,small_airport,Pinson,230
206,ALZ,Alitak Seaplane Base,seaplane_base,Lazy Bay,230
207,AME,Alto Molocue Airport,small_airport,Alto Molocue,157
208,AMY,Ambatomainty Airport,small_airport,Unknown,140
209,INU,Nauru International Airport,medium_airport,Yaren,167
210,ANZ,Angus Downs Airport,small_airport,Angus Downs Station,13
211,ANL,Andulo Airport,small_airport,Andulo,8
212,JMB,Jamba Airport,small_airport,Jamba,8
213,LUO,Luena Airport,closed,Luena,8
214,CNZ,Cangamba Airport,small_airport,Cangamba,8
215,DRC,Dirico Airport,small_airport,Dirico,8
216,NDF,N'dalatando Airport,small_airport,N'dalatando,8
217,AOB,Annanberg Airport,small_airport,Unknown,174
218,AOD,Abou-Deïa Airport,small_airport,Abou-Deïa,212
219,APP,Asapa Airport,small_airport,Unknown,174
220,AQY,Girdwood-Alyeska Airport,small_airport,Girdwood,230
221,QRF,Bragado Airport,small_airport,Bragado,10
222,CVI,Caleta Olivia Airport,small_airport,Caleta Olivia,10
223,CNT,Charata Airport,small_airport,Charata,10
224,VGS,General Villegas Airport,small_airport,General Villegas,10
225,LMD,Los Menucos Airport,small_airport,Los Menucos,10
226,SZQ,Saenz Peña Airport,closed,Presidencia Roque Sáenz Peña,10
227,VCF,Valcheta Airport,small_airport,Valcheta,10
228,AYC,Ayacucho Airport,small_airport,Ayacucho,10
229,QCO,Colón Airport,small_airport,Colón,10
230,MRJ,Colon Airport,small_airport,Colon,10
231,GDP,Guadalupe Airport,small_airport,Santa Fe,10
232,LNK,Lincoln Airport,small_airport,Lincoln,10
233,BHA,Los Perales Airport,small_airport,Las Heras,10
234,MDX,Mercedes Airport,small_airport,Mercedes,10
235,ZIC,Victoria Airport,small_airport,Victoria,10
236,BAI,Buenos Aires Airport,small_airport,"Pueblo Alsina, Baradero",10
237,CPG,Carmen de Patagones Airport,small_airport,Carmen de Patagones,10
238,CEP,Concepción Airport,small_airport,Concepción,10
239,SGM,San Ignacio Airport,small_airport,Junin de Los Andes,10
240,OLN,Colonia Sarmiento Airport,small_airport,Sarmiento,10
241,CCT,Colonia Catriel Airport,closed,Colonia Catriel,10
242,JNI,Junin Airport,closed,Junin,10
243,ING,Lago Argentino Airport,closed,El Calafate,10
244,SPY,San Pedro Airport,small_airport,San Pedro,10
245,ARP,Aragip Airport,small_airport,Unknown,174
246,TAV,Tau Airport,closed,Tau,11
247,ASZ,Asirim Airport,small_airport,Unknown,174
248,HRS,Harrismith Airport,small_airport,Harrismith,13
249,LYT,Lady Elliot Island Airstrip,small_airport,Lady Elliot Island,13
250,DWF,Wright Field,small_airport,Yando,13
251,LOL,Derby Field,small_airport,Bridgewater,13
252,GEX,Geelong Airport,closed,Unknown,13
253,KXR,Karoola Airport,small_airport,Menindee,13
254,BEE,Beagle Bay Airport,small_airport,Mission River,13
255,RRV,Robinson River Airport,small_airport,Kimbolton,13
256,BAM,Battle Mountain Airport,small_airport,Kumarina WA 6642,13
257,MKV,Mount Cavenagh Airport,closed,Ghan,13
258,LTB,Latrobe Airport,closed,Latrobe,13
259,RCN,American River Airport,closed,American River,13
260,AGW,Agnew Airport,small_airport,Agnew,13
261,AYD,Alroy Downs Airport,small_airport,Alroy Downs,13
262,BYX,Baniyala Airport,small_airport,Baniyala,13
263,COB,Coolibah Airport,small_airport,Coolibah,13
264,CRJ,Coorabie Airport,small_airport,Coorabie,13
265,CRY,Carlton Hill Airport,small_airport,Carlton Hill,13
266,CSD,Cresswell Downs Airport,small_airport,Cresswell Downs,13
267,DYM,Diamantina Lakes Airport,small_airport,Diamantina Lakes,13
268,HIS,Hayman Island Resort Seaplane Base,seaplane_base,Hayman Island,13
269,HLV,Helenvale Airport,small_airport,Helenvale,13
270,KBD,Kimberley Downs Airport,small_airport,Kimberley Downs,13
271,KGR,Kulgera Airport,small_airport,Ghan,13
272,MYO,Camballin Airport,small_airport,Myroodah,13
273,PEP,Peppimenarti Airport,small_airport,Peppimenarti,13
274,RDA,Rockhampton Downs Airport,small_airport,Rockhampton Downs,13
275,SSK,Sturt Creek Airport,small_airport,Sturt Creek,13
276,SWB,Shaw River Airport,small_airport,Shaw River,13
277,TWP,Torwood Airport,small_airport,Torwood,13
278,ZVG,Springvale Airport,small_airport,Springvale,13
279,AWR,Awar Airport (unusable),small_airport,Awar,174
280,AXF,Alxa Left Banner Bayanhot Airport,medium_airport,Bayanhot,46
281,AMF,Ama Airport,small_airport,Unknown,174
282,UAE,Mount Aue Airport,small_airport,Aue,174
283,AFR,Afore Airstrip,small_airport,Afore,174
284,AUP,Agaun Airport,small_airport,Agaun,174
285,ATP,Aitape Airport,small_airport,Aitape,174
286,AIH,Aiambak Airport,small_airport,Aiambak,174
