date_key,date,day,week,month,quarter,year
1,2022-01-01,1,52,1,1,2022
2,2022-01-02,2,52,1,1,2022
3,2022-01-03,3,1,1,1,2022
4,2022-01-04,4,1,1,1,2022
5,2022-01-05,5,1,1,1,2022
6,2022-01-06,6,1,1,1,2022
7,2022-01-07,7,1,1,1,2022
8,2022-01-08,8,1,1,1,2022
9,2022-01-09,9,1,1,1,2022
10,2022-01-10,10,2,1,1,2022
11,2022-01-11,11,2,1,1,2022
12,2022-01-12,12,2,1,1,2022
13,2022-01-13,13,2,1,1,2022
14,2022-01-14,14,2,1,1,2022
15,2022-01-15,15,2,1,1,2022
16,2022-01-16,16,2,1,1,2022
17,2022-01-17,17,3,1,1,2022
18,2022-01-18,18,3,1,1,2022
19,2022-01-19,19,3,1,1,2022
20,2022-01-20,20,3,1,1,2022
21,2022-01-21,21,3,1,1,2022
22,2022-01-22,22,3,1,1,2022
23,2022-01-23,23,3,1,1,2022
24,2022-01-24,24,4,1,1,2022
25,2022-01-25,25,4,1,1,2022
26,2022-01-26,26,4,1,1,2022
27,2022-01-27,27,4,1,1,2022
28,2022-01-28,28,4,1,1,2022
29,2022-01-29,29,4,1,1,2022
30,2022-01-30,30,4,1,1,2022
31,2022-01-31,31,5,1,1,2022
32,2022-02-01,1,5,2,1,2022
33,2022-02-02,2,5,2,1,2022
34,2022-02-03,3,5,2,1,2022
35,2022-02-04,4,5,2,1,2022
36,2022-02-05,5,5,2,1,2022
37,2022-02-06,6,5,2,1,2022
38,2022-02-07,7,6,2,1,2022
39,2022-02-08,8,6,2,1,2022
40,2022-02-09,9,6,2,1,2022
41,2022-02-10,10,6,2,1,2022
42,2022-02-11,11,6,2,1,2022
43,2022-02-12,12,6,2,1,2022
44,2022-02-13,13,6,2,1,2022
45,2022-02-14,14,7,2,1,2022
46,2022-02-15,15,7,2,1,2022
47,2022-02-16,16,7,2,1,2022
48,2022-02-17,17,7,2,1,2022
49,2022-02-18,18,7,2,1,2022
50,2022-02-19,19,7,2,1,2022
51,2022-02-20,20,7,2,1,2022
52,2022-02-21,21,8,2,1,2022
53,2022-02-22,22,8,2,1,2022
54,2022-02-23,23,8,2,1,2022
55,2022-02-24,24,8,2,1,2022
56,2022-02-25,25,8,2,1,2022
57,2022-02-26,26,8,2,1,2022
58,2022-02-27,27,8,2,1,2022
59,2022-02-28,28,9,2,1,2022
60,2022-03-01,1,9,3,1,2022
61,2022-03-02,2,9,3,1,2022
62,2022-03-03,3,9,3,1,2022
63,2022-03-04,4,9,3,1,2022
64,2022-03-05,5,9,3,1,2022
65,2022-03-06,6,9,3,1,2022
66,2022-03-07,7,10,3,1,2022
67,2022-03-08,8,10,3,1,2022
68,2022-03-09,9,10,3,1,2022
69,2022-03-10,10,10,3,1,2022
70,2022-03-11,11,10,3,1,2022
71,2022-03-12,12,10,3,1,2022
72,2022-03-13,13,10,3,1,2022
73,2022-03-14,14,11,3,1,2022
74,2022-03-15,15,11,3,1,2022
75,2022-03-16,16,11,3,1,2022
76,2022-03-17,17,11,3,1,2022
77,2022-03-18,18,11,3,1,2022
78,2022-03-19,19,11,3,1,2022
79,2022-03-20,20,11,3,1,2022
80,2022-03-21,21,12,3,1,2022
81,2022-03-22,22,12,3,1,2022
82,2022-03-23,23,12,3,1,2022
83,2022-03-24,24,12,3,1,2022
84,2022-03-25,25,12,3,1,2022
