flight_activity_id,passenger_key,airport_key,date_key,flight_status_key,passenger_count,is_international
1,1,5980,179,1,1,1
2,2,951,360,1,1,1
3,3,4627,18,1,1,1
4,4,1073,259,2,1,1
5,5,4252,56,1,1,1
6,6,6703,161,1,1,0
7,7,1670,303,3,1,1
8,8,6748,97,3,1,1
9,9,4791,232,1,1,1
10,10,1169,96,1,1,1
11,11,5117,147,3,1,1
12,12,5221,37,2,1,1
13,13,5869,78,2,1,1
14,14,8847,83,2,1,1
15,15,3418,66,2,1,1
16,16,1936,199,3,1,1
17,17,9599,266,1,1,1
18,18,9384,88,2,1,1
19,19,8432,307,3,1,1
20,20,9369,248,3,1,0
21,21,8,50,2,1,1
22,22,1023,309,3,1,1
23,23,2123,236,1,1,1
24,24,7030,218,2,1,1
25,25,3366,79,3,1,1
26,26,2487,50,1,1,1
27,27,8384,276,2,1,1
28,28,5971,339,2,1,1
29,29,1999,99,2,1,1
30,30,2077,104,2,1,1
31,31,5499,203,2,1,1
32,32,8918,217,3,1,1
33,33,5590,84,3,1,1
34,34,2036,266,2,1,1
35,35,7825,327,2,1,1
36,36,357,176,1,1,1
37,37,935,203,2,1,1
38,38,5097,355,3,1,1
39,39,8769,11,1,1,1
40,40,5386,345,2,1,1
41,41,9056,349,1,1,1
42,42,3240,167,1,1,1
43,43,8511,189,2,1,1
44,44,4235,137,3,1,1
45,45,7613,52,1,1,1
46,46,4333,80,1,1,0
47,47,3653,312,2,1,1
48,48,392,173,1,1,1
49,49,7162,116,2,1,1
50,50,9154,65,1,1,1
51,51,7126,133,3,1,1
52,52,995,135,3,1,1
53,53,8429,342,1,1,1
54,54,267,327,2,1,1
55,55,9479,265,1,1,1
56,56,4408,38,2,1,1
57,57,2665,208,3,1,1
58,58,8736,328,2,1,1
59,59,8419,352,3,1,1
60,60,1352,119,1,1,1
61,61,775,31,3,1,1
62,62,2923,186,1,1,1
63,63,7890,201,2,1,1
64,64,4208,83,3,1,1
65,65,9200,314,3,1,1
